time, xacc, yacc, zacc, rot
time, xacc, yacc, zacc, rot
1544391645.5045922,-71,-1637,12
1544391645.5052238,-78,-1625,5
1544391645.5057273,-78,-1623,3
1544391645.5062623,-75,-1631,4
1544391645.506746,-75,-1631,0
1544391645.507223,-72,-1642,8
1544391645.5077198,-71,-1637,12
1544391645.5082276,-78,-1625,5
1544391645.5087066,-78,-1623,3
1544391645.5091865,-75,-1631,4
1544391645.5097177,-75,-1631,0
1544391645.5101998,-72,-1642,8
1544391645.5106995,-71,-1637,12
time, xacc, yacc, zacc, rot
1544391730.603259,248,-1089,629
1544391730.6038153,249,-1091,633
1544391730.6043372,250,-1087,643
1544391730.604851,249,-1088,665
1544391730.6053617,246,-1083,665
1544391730.6061976,248,-1089,629
1544391730.6067128,249,-1091,633
1544391730.6072202,250,-1087,643
1544391730.6077263,249,-1088,665
1544391730.6082318,246,-1083,665
1544391730.6091294,248,-1089,629
1544391730.609682,249,-1091,633
1544391730.6102233,250,-1087,643
1544391730.6107585,249,-1088,665
1544391730.6112902,246,-1083,665
time, xacc, yacc, zacc, rot
